director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Mitch Davis,Gary Cole,Jon Heder,Cheryl Hines,Comedy,christmas eve,gary cole jon heder cheryl hines mitch davis comedy
Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,Crime Drama Thriller,we have your husband,teri polo esai morales nicholas gonzalez eric bross crime drama thriller
Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,Drama Thriller,dying of the light,nicolas cage irène jacob tomiwa edun paul schrader drama thriller
Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,Action Drama Thriller War,born of war,james frain sofia black-d'elia lisa kay vicky jewson action drama thriller war
Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,Action Sci-Fi Thriller,capricorn one,david huddleston sam waterston hal holbrook peter hyams action sci-fi thriller
Marc Bennett,Michael Rapaport,Natasha Henstridge,Costas Mandylor,Comedy Drama,should've been romeo,michael rapaport natasha henstridge costas mandylor marc bennett comedy drama
Mike Mayhall,David Raizor,Cody Howard,Martin Kove,Family,running forever,david raizor cody howard martin kove mike mayhall family
Kevin Smith,Johnny Depp,Haley Joel Osment,Natasha Lyonne,Comedy Fantasy Horror Thriller,yoga hosers,johnny depp haley joel osment natasha lyonne kevin smith comedy fantasy horror thriller
Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,Action Horror,navy seals vs. zombies,mikal vega michael dudikoff ed quinn stanton barrett action horror
Jirí Menzel,Julia Jentsch,Ivan Barnev,Milan Lasica,Comedy Drama Romance War,i served the king of england,julia jentsch ivan barnev milan lasica jirí menzel comedy drama romance war
Fatih Akin,Udo Kier,Moritz Bleibtreu,Birol Ünel,Comedy Drama,soul kitchen,udo kier moritz bleibtreu birol ünel fatih akin comedy drama
Billy Bob Thornton,Robert Duvall,Dwight Yoakam,J.T. Walsh,Drama,sling blade,robert duvall dwight yoakam j.t. walsh billy bob thornton drama
Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,Horror Thriller,the awakening,isaac hempstead wright imelda staunton joseph mawle nick murphy horror thriller
Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,Horror,hostel,jay hernandez takashi miike rick hoffman eli roth horror
Michael Winterbottom,Steve Coogan,Shirley Henderson,Dylan Moran,Comedy Drama,tristram shandy: a cock and bull story,steve coogan shirley henderson dylan moran michael winterbottom comedy drama
Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,Drama Thriller,take shelter,katy mixon shea whigham robert longstreet jeff nichols drama thriller
Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,lady in white,alex rocco lukas haas katherine helmond frank laloggia fantasy horror mystery thriller
Jeremy Brock,Rupert Grint,Julie Walters,Tamsin Egerton,Comedy Drama,driving lessons,rupert grint julie walters tamsin egerton jeremy brock comedy drama
Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,Comedy Crime,let's kill ward's wife,donald faison greg grunberg dagmara dominczyk scott foley comedy crime
Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow,Comedy Horror,the texas chainsaw massacre 2,bill johnson lou perryman jim siedow tobe hooper comedy horror
Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,Biography Drama Romance Western,pat garrett & billy the kid,james coburn bob dylan jason robards sam peckinpah biography drama romance western
Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,Crime Drama,only god forgives,ryan gosling kristin scott thomas yayaying rhatha phongam nicolas winding refn crime drama
Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,camping sauvage,denis lavant isild le besco emmanuelle bercot christophe ali drama
Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,Comedy,without men,maria conchita alonso kate del castillo camryn manheim gabriela tagliavini comedy
Shekar,Bhama,Diganth,Dileep Raj,Comedy Romance,barfi,bhama diganth dileep raj shekar comedy romance
Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,Drama Romance,dear frankie,gerard butler sharon small jack mcelhone shona auerbach drama romance
Leonard Farlinger,Keith Carradine,Gary Farmer,Stephen McHattie,Western,all hat,keith carradine gary farmer stephen mchattie leonard farlinger western
Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,Comedy Drama Romance,the names of love,sara forestier jacques gamblin zinedine soualem michel leclerc comedy drama romance
Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,Comedy Drama,treading water,zoë kravitz douglas smith kim ly analeine cal y mayor comedy drama
Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,Drama,savage grace,eddie redmayne elena anaya stephen dillane tom kalin drama
Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime Drama,out of the blue,william kircher matthew sunderland paul glover robert sarkies crime drama
Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,police academy,steve guttenberg bubba smith michael winslow hugh wilson comedy
Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,Adventure Drama Romance,the blue lagoon,brooke shields christopher atkins leo mckern randal kleiser adventure drama romance
Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,Comedy Drama Romance,four weddings and a funeral,kristin scott thomas james fleet simon callow mike newell comedy drama romance
